"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty51770","Roanoke city, VA",22907
"cty13081","Crisp County, GA",22904
"cty12045","Gulf County, FL",22899
"cty37077","Granville County, NC",22870
"cty45021","Cherokee County, SC",22861
"cty01047","Dallas County, AL",22854
"cty02060","Bristol Bay Borough, AK",22847
"cty37107","Lenoir County, NC",22821
"cty37079","Greene County, NC",22807
"cty72099","Moca Municipio, PR",22799
"cty13303","Washington County, GA",22750
"cty13059","Clarke County, GA",22710
"cty05069","Jefferson County, AR",22709
"cty13099","Early County, GA",22708
"cty45069","Marlboro County, SC",22705
"cty38085","Sioux County, ND",22615
"cty51740","Portsmouth city, VA",22604
"cty28135","Tallahatchie County, MS",22584
"cty45079","Richland County, SC",22561
"cty13237","Putnam County, GA",22528
"cty01113","Russell County, AL",22512
"cty22065","Madison Parish, LA",22487
"cty13243","Randolph County, GA",22468
"cty04001","Apache County, AZ",22439
"cty13063","Clayton County, GA",22428
"cty13301","Warren County, GA",22406
"cty13245","Richmond County, GA",22386
"cty13255","Spalding County, GA",22349
"cty51750","Radford city, VA",22311
"cty45049","Hampton County, SC",22257
"cty13215","Muscogee County, GA",22237
"cty28083","Leflore County, MS",22127
"cty01105","Perry County, AL",22090
"cty13141","Hancock County, GA",22086
"cty51590","Danville city, VA",22071
"cty28107","Panola County, MS",22017
"cty11001","District of Columbia, DC",21998
"cty45053","Jasper County, SC",21961
"cty05035","Crittenden County, AR",21956
"cty45009","Bamberg County, SC",21879
"cty01085","Lowndes County, AL",21841
"cty28027","Coahoma County, MS",21803
"cty47047","Fayette County, TN",21759
"cty13009","Baldwin County, GA",21685
"cty37063","Durham County, NC",21677
"cty72041","Cidra Municipio, PR",21623
"cty01101","Montgomery County, AL",21591
"cty51081","Greensville County, VA",21543
"cty47075","Haywood County, TN",21512
"cty28025","Clay County, MS",21438
"cty72103","Naguabo Municipio, PR",21417
"cty05107","Phillips County, AR",21400
"cty37155","Robeson County, NC",21260
"cty28049","Hinds County, MS",21216
"cty28133","Sunflower County, MS",21089
"cty13021","Bibb County, GA",21059
"cty47095","Lake County, TN",20977
"cty13089","DeKalb County, GA",20962
"cty72023","Cabo Rojo Municipio, PR",20945
"cty28053","Humphreys County, MS",20945
"cty28151","Washington County, MS",20928
"cty37065","Edgecombe County, NC",20852
"cty72119","Rio Grande Municipio, PR",20839
"cty13265","Taliaferro County, GA",20802
"cty13121","Fulton County, GA",20795
"cty17003","Alexander County, IL",20681
"cty13259","Stewart County, GA",20666
"cty29510","St. Louis city, MO",20519
"cty13319","Wilkinson County, GA",20412
"cty13095","Dougherty County, GA",20317
"cty37181","Vance County, NC",20297
"cty72053","Fajardo Municipio, PR",20286
"cty37093","Hoke County, NC",20232
"cty45005","Allendale County, SC",20218
"cty01087","Macon County, AL",20195
"cty28021","Claiborne County, MS",20189
"cty12039","Gadsden County, FL",20180
"cty13239","Quitman County, GA",20053
"cty72003","Aguada Municipio, PR",20002
"cty47157","Shelby County, TN",19925
"cty24510","Baltimore city, MD",19842
"cty72107","Orocovis Municipio, PR",19783
"cty72137","Toa Baja Municipio, PR",19774
"cty72139","Trujillo Alto Municipio, PR",19707
"cty13273","Terrell County, GA",19663
"cty51690","Martinsville city, VA",19642
"cty37165","Scotland County, NC",19580
"cty51595","Emporia city, VA",19559
"cty72151","Yabucoa Municipio, PR",19371
"cty02198","Prince of Wales-Hyder Census Area, AK",19358
"cty72027","Camuy Municipio, PR",19286
"cty72081","Lares Municipio, PR",18658
"cty13007","Baker County, GA",18580
"cty72089","Luquillo Municipio, PR",18465
"cty02070","Dillingham Census Area, AK",18414
"cty72029","Canovanas Municipio, PR",18388
"cty51760","Richmond city, VA",18381
"cty51730","Petersburg city, VA",18317
"cty28143","Tunica County, MS",18233
"cty02290","Yukon-Koyukuk Census Area, AK",18101
"cty72065","Hatillo Municipio, PR",18077
"cty72101","Morovis Municipio, PR",17976
"cty72143","Vega Alta Municipio, PR",17566
"cty72131","San Sebastian Municipio, PR",17559
"cty72105","Naranjito Municipio, PR",17525
"cty72071","Isabela Municipio, PR",17458
"cty02185","North Slope Borough, AK",17067
"cty72133","Santa Isabel Municipio, PR",16892
"cty55078","Menominee County, WI",16724
"cty72145","Vega Baja Municipio, PR",16016
"cty46121","Todd County, SD",15306
"cty02188","Northwest Arctic Borough, AK",15050
"cty72141","Utuado Municipio, PR",14676
"cty72009","Aibonito Municipio, PR",14559
"cty72125","San German Municipio, PR",14156
"cty02105","Hoonah-Angoon Census Area, AK",14144
"cty72091","Manati Municipio, PR",13940
"cty02180","Nome Census Area, AK",13871
"cty46102","Oglala Lakota County, SD",13449
"cty02050","Bethel Census Area, AK",12582
"cty72149","Villalba Municipio, PR",12569
"cty72069","Humacao Municipio, PR",12529
"cty72037","Ceiba Municipio, PR",12318
"cty72077","Juncos Municipio, PR",11819
"cty72117","Rincon Municipio, PR",11659
"cty02158","Kusilvak Census Area, AK",11511
"cty72045","Comerio Municipio, PR",10971
"cty72001","Adjuntas Municipio, PR",8890
"cty72087","Loiza Municipio, PR",7290
"cty48269","King County, TX",
"cty49009","Daggett County, UT",
"cty72054","Florida Municipio, PR",
"cty72015","Arroyo Municipio, PR",
"cty72095","Maunabo Municipio, PR",
"cty72147","Vieques Municipio, PR",
"cty02282","Yakutat City and Borough, AK",
"cty72055","Guanica Municipio, PR",
"cty30103","Treasure County, MT",
"cty72083","Las Marias Municipio, PR",
"cty35021","Harding County, NM",
"cty72109","Patillas Municipio, PR",
"cty02230","Skagway Municipality, AK",
"cty31091","Hooker County, NE",
"cty72059","Guayanilla Municipio, PR",
"cty72017","Barceloneta Municipio, PR",
"cty15005","Kalawao County, HI",
"cty30069","Petroleum County, MT",
"cty48301","Loving County, TX",
"cty08079","Mineral County, CO",
"cty31005","Arthur County, NE",
"cty72073","Jayuya Municipio, PR",
"cty08111","San Juan County, CO",
"cty48443","Terrell County, TX",
"cty72067","Hormigueros Municipio, PR",
"cty72049","Culebra Municipio, PR",
"cty08053","Hinsdale County, CO",
"cty72033","Catano Municipio, PR",
"cty72121","Sabana Grande Municipio, PR",
"cty72093","Maricao Municipio, PR",
