"cty","Name","Household_Income_at_Age_35_rP_gM_p25"
"cty29045","Clark County, MO",37633
"cty20189","Stevens County, KS",37604
"cty55115","Shawano County, WI",37602
"cty48227","Howard County, TX",37597
"cty34037","Sussex County, NJ",37593
"cty19129","Mills County, IA",37582
"cty42115","Susquehanna County, PA",37563
"cty48359","Oldham County, TX",37561
"cty55005","Barron County, WI",37558
"cty17185","Wabash County, IL",37549
"cty48151","Fisher County, TX",37547
"cty17015","Carroll County, IL",37532
"cty02195","Petersburg Borough, AK",37501
"cty48465","Val Verde County, TX",37485
"cty20115","Marion County, KS",37479
"cty55103","Richland County, WI",37471
"cty18073","Jasper County, IN",37464
"cty48087","Collingsworth County, TX",37459
"cty22057","Lafourche Parish, LA",37449
"cty27057","Hubbard County, MN",37448
"cty17173","Shelby County, IL",37440
"cty16053","Jerome County, ID",37428
"cty06005","Amador County, CA",37416
"cty18027","Daviess County, IN",37400
"cty31047","Dawson County, NE",37385
"cty46023","Charles Mix County, SD",37381
"cty55125","Vilas County, WI",37371
"cty48239","Jackson County, TX",37363
"cty19079","Hamilton County, IA",37363
"cty27087","Mahnomen County, MN",37343
"cty29061","Daviess County, MO",37329
