"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty53037","Kittitas County, WA",43487
"cty19125","Marion County, IA",43481
"cty27049","Goodhue County, MN",43476
"cty53043","Lincoln County, WA",43451
"cty27171","Wright County, MN",43438
"cty08107","Routt County, CO",43429
"cty08009","Baca County, CO",43408
"cty08063","Kit Carson County, CO",43396
"cty20031","Coffey County, KS",43395
"cty19195","Worth County, IA",43387
"cty19015","Boone County, IA",43379
"cty19049","Dallas County, IA",43362
"cty19059","Dickinson County, IA",43344
"cty56029","Park County, WY",43327
"cty56005","Campbell County, WY",43318
"cty20187","Stanton County, KS",43270
"cty48103","Crane County, TX",43266
"cty20105","Lincoln County, KS",43257
"cty35028","Los Alamos County, NM",43233
"cty48475","Ward County, TX",43228
"cty49013","Duchesne County, UT",43190
"cty20197","Wabaunsee County, KS",43126
"cty17067","Hancock County, IL",43107
"cty20053","Ellsworth County, KS",43073
"cty18037","Dubois County, IN",43062
"cty55029","Door County, WI",43031
"cty08051","Gunnison County, CO",43019
"cty24031","Montgomery County, MD",43018
"cty27043","Faribault County, MN",43015
"cty38071","Ramsey County, ND",42979
"cty40151","Woods County, OK",42965
"cty30027","Fergus County, MT",42922
"cty19183","Washington County, IA",42909
"cty19181","Warren County, IA",42862
"cty20163","Rooks County, KS",42851
"cty16043","Fremont County, ID",42832
"cty08061","Kiowa County, CO",42830
"cty31133","Pawnee County, NE",42811
"cty31067","Gage County, NE",42805
"cty48259","Kendall County, TX",42794
"cty31037","Colfax County, NE",42780
"cty31185","York County, NE",42719
"cty19157","Poweshiek County, IA",42690
"cty08067","La Plata County, CO",42667
"cty38035","Grand Forks County, ND",42658
"cty27163","Washington County, MN",42658
"cty08121","Washington County, CO",42654
"cty27005","Becker County, MN",42561
"cty48195","Hansford County, TX",42531
"cty30101","Toole County, MT",42529
"cty31033","Cheyenne County, NE",42500
"cty51610","Falls Church city, VA",42484
"cty06081","San Mateo County, CA",42459
"cty17023","Clark County, IL",42455
"cty29205","Shelby County, MO",42440
"cty49041","Sevier County, UT",42439
"cty34023","Middlesex County, NJ",42428
"cty20101","Lane County, KS",42424
"cty48425","Somervell County, TX",42423
"cty41037","Lake County, OR",42423
"cty31113","Logan County, NE",42413
"cty19177","Van Buren County, IA",42386
"cty31083","Harlan County, NE",42378
"cty31145","Red Willow County, NE",42352
"cty29103","Knox County, MO",42349
"cty06085","Santa Clara County, CA",42335
"cty55125","Vilas County, WI",42305
"cty27001","Aitkin County, MN",42272
"cty55017","Chippewa County, WI",42271
"cty18087","LaGrange County, IN",42271
"cty08035","Douglas County, CO",42270
"cty19197","Wright County, IA",42268
"cty25017","Middlesex County, MA",42255
"cty26063","Huron County, MI",42252
"cty27013","Blue Earth County, MN",42246
"cty08117","Summit County, CO",42245
"cty49049","Utah County, UT",42229
"cty55033","Dunn County, WI",42203
"cty39075","Holmes County, OH",42195
"cty36081","Queens County, NY",42190
"cty55019","Clark County, WI",42171
"cty27161","Waseca County, MN",42166
"cty27087","Mahnomen County, MN",42163
"cty20027","Clay County, KS",42147
"cty27027","Clay County, MN",42144
"cty48501","Yoakum County, TX",42143
"cty53023","Garfield County, WA",42131
"cty34019","Hunterdon County, NJ",42125
"cty27009","Benton County, MN",42085
"cty16049","Idaho County, ID",42065
"cty48359","Oldham County, TX",42050
"cty16007","Bear Lake County, ID",42039
"cty51027","Buchanan County, VA",41972
"cty54073","Pleasants County, WV",41964
"cty46005","Beadle County, SD",41950
"cty31073","Gosper County, NE",41946
"cty19021","Buena Vista County, IA",41945
"cty48483","Wheeler County, TX",41901
"cty55005","Barron County, WI",41891
"cty19175","Union County, IA",41890
"cty53075","Whitman County, WA",41886
"cty46075","Jones County, SD",41885
"cty55073","Marathon County, WI",41881
"cty31131","Otoe County, NE",41856
"cty16035","Clearwater County, ID",41847
"cty06041","Marin County, CA",41842
"cty48171","Gillespie County, TX",41826
"cty56037","Sweetwater County, WY",41819
"cty19171","Tama County, IA",41818
"cty49023","Juab County, UT",41815
"cty49003","Box Elder County, UT",41806
"cty55103","Richland County, WI",41797
"cty19079","Hamilton County, IA",41790
"cty27165","Watonwan County, MN",41788
"cty55015","Calumet County, WI",41785
"cty31031","Cherry County, NE",41766
"cty19137","Montgomery County, IA",41759
"cty36085","Richmond County, NY",41734
"cty17027","Clinton County, IL",41724
"cty20185","Stafford County, KS",41723
"cty56003","Big Horn County, WY",41716
"cty42063","Indiana County, PA",41711
"cty27109","Olmsted County, MN",41698
"cty19135","Monroe County, IA",41661
"cty38097","Traill County, ND",41636
"cty17131","Mercer County, IL",41634
"cty41049","Morrow County, OR",41625
"cty27115","Pine County, MN",41618
"cty27047","Freeborn County, MN",41616
"cty49011","Davis County, UT",41586
"cty26083","Keweenaw County, MI",41551
"cty48043","Brewster County, TX",41548
"cty19103","Johnson County, IA",41540
"cty55007","Bayfield County, WI",41521
"cty55045","Green County, WI",41504
"cty19033","Cerro Gordo County, IA",41491
"cty19051","Davis County, IA",41486
"cty31025","Cass County, NE",41480
"cty06017","El Dorado County, CA",41473
"cty55099","Price County, WI",41456
"cty21201","Robertson County, KY",41436
"cty48337","Montague County, TX",41424
"cty55131","Washington County, WI",41385
"cty48433","Stonewall County, TX",41368
"cty48095","Concho County, TX",41367
"cty47127","Moore County, TN",41360
"cty16057","Latah County, ID",41358
"cty18073","Jasper County, IN",41328
"cty20171","Scott County, KS",41325
"cty19087","Henry County, IA",41313
"cty20033","Comanche County, KS",41294
"cty55061","Kewaunee County, WI",41247
"cty49039","Sanpete County, UT",41230
"cty19133","Monona County, IA",41226
"cty48335","Mitchell County, TX",41225
"cty27083","Lyon County, MN",41220
"cty20091","Johnson County, KS",41210
"cty27025","Chisago County, MN",41185
"cty27061","Itasca County, MN",41180
"cty39137","Putnam County, OH",41153
"cty08014","Broomfield County, CO",41146
"cty55087","Outagamie County, WI",41145
"cty46019","Butte County, SD",41138
"cty31105","Kimball County, NE",41110
"cty53069","Wahkiakum County, WA",41100
"cty27059","Isanti County, MN",41094
"cty29171","Putnam County, MO",41091
"cty24027","Howard County, MD",41088
"cty56033","Sheridan County, WY",41088
"cty40007","Beaver County, OK",41073
"cty20049","Elk County, KS",41073
"cty20115","Marion County, KS",41073
"cty20047","Edwards County, KS",41063
"cty20017","Chase County, KS",41058
"cty48045","Briscoe County, TX",41050
"cty17053","Ford County, IL",41015
"cty20003","Anderson County, KS",41010
"cty19101","Jefferson County, IA",41009
"cty31119","Madison County, NE",41004
"cty41023","Grant County, OR",40983
"cty40009","Beckham County, OK",40976
"cty27131","Rice County, MN",40969
"cty55107","Rusk County, WI",40940
"cty55123","Vernon County, WI",40939
"cty35059","Union County, NM",40937
"cty17015","Carroll County, IL",40915
"cty19173","Taylor County, IA",40908
"cty55097","Portage County, WI",40907
"cty46027","Clay County, SD",40896
"cty51013","Arlington County, VA",40895
"cty31001","Adams County, NE",40888
"cty40149","Washita County, OK",40863
"cty27037","Dakota County, MN",40816
"cty06059","Orange County, CA",40805
"cty54001","Barbour County, WV",40798
"cty56015","Goshen County, WY",40794
"cty46135","Yankton County, SD",40737
"cty19039","Clarke County, IA",40732
"cty48023","Baylor County, TX",40731
"cty42127","Wayne County, PA",40729
"cty26053","Gogebic County, MI",40725
"cty30001","Beaverhead County, MT",40714
"cty30017","Custer County, MT",40682
"cty55047","Green Lake County, WI",40682
"cty30031","Gallatin County, MT",40668
"cty55133","Waukesha County, WI",40612
"cty48289","Leon County, TX",40598
"cty20149","Pottawatomie County, KS",40577
"cty27141","Sherburne County, MN",40575
"cty42091","Montgomery County, PA",40554
"cty31053","Dodge County, NE",40514
"cty56045","Weston County, WY",40509
"cty17149","Pike County, IL",40493
"cty36103","Suffolk County, NY",40483
"cty42119","Union County, PA",40483
"cty22023","Cameron Parish, LA",40478
"cty17185","Wabash County, IL",40470
"cty06061","Placer County, CA",40466
"cty55141","Wood County, WI",40458
"cty30081","Ravalli County, MT",40450
"cty55095","Polk County, WI",40450
"cty48371","Pecos County, TX",40445
"cty20143","Ottawa County, KS",40400
"cty17049","Effingham County, IL",40345
"cty08033","Dolores County, CO",40304
"cty20095","Kingman County, KS",40299
"cty20127","Morris County, KS",40285
"cty48065","Carson County, TX",40282
"cty55135","Waupaca County, WI",40271
"cty42017","Bucks County, PA",40262
"cty20087","Jefferson County, KS",40252
"cty55071","Manitowoc County, WI",40234
"cty16059","Lemhi County, ID",40230
"cty42031","Clarion County, PA",40228
"cty20013","Brown County, KS",40225
"cty44001","Bristol County, RI",40210
"cty20073","Greenwood County, KS",40205
"cty08007","Archuleta County, CO",40194
"cty32005","Douglas County, NV",40183
"cty36121","Wyoming County, NY",40181
"cty46071","Jackson County, SD",40166
"cty30065","Musselshell County, MT",40161
"cty27065","Kanabec County, MN",40155
"cty17109","McDonough County, IL",40143
"cty36087","Rockland County, NY",40139
"cty42059","Greene County, PA",40092
"cty08045","Garfield County, CO",40085
"cty48389","Reeves County, TX",40080
"cty26141","Presque Isle County, MI",40063
"cty53013","Columbia County, WA",40056
"cty48329","Midland County, TX",40045
"cty56025","Natrona County, WY",40043
"cty39011","Auglaize County, OH",40025
"cty35021","Harding County, NM",40018
"cty19145","Page County, IA",40004
"cty49053","Washington County, UT",39994
"cty48381","Randall County, TX",39988
"cty20151","Pratt County, KS",39983
"cty06043","Mariposa County, CA",39976
"cty35011","De Baca County, NM",39971
"cty48211","Hemphill County, TX",39936
"cty34035","Somerset County, NJ",39917
"cty42025","Carbon County, PA",39915
"cty34037","Sussex County, NJ",39913
"cty48207","Haskell County, TX",39905
"cty06005","Amador County, CA",39890
"cty26061","Houghton County, MI",39856
"cty36031","Essex County, NY",39854
"cty46093","Meade County, SD",39851
"cty15007","Kauai County, HI",39825
"cty06057","Nevada County, CA",39819
"cty20085","Jackson County, KS",39811
"cty48285","Lavaca County, TX",39780
